dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;24382;27818;64.92;;27818;7096
;24935;31100;58.46;;31100;7106
;23584;28429;63.35;;28429;7095
;23620;28181;50.54;;28181;7087
;23390;26104;64.89;;26104;4029
;22354;23714;64.76;;23714;4828
;28484;29738;64.17;;29738;5995
;25146;27150;70.99;;27150;6741
;25750;26891;61.05;;26891;6852
;23505;24255;59.46;;24255;6014
;21033;21192;54.98;;21192;5039
;25272;24533;58.27;;24533;5398
;25750;29589;52.54;;29589;7102
;25764;28733;54.69;;28733;7099
;25617;30452;45.38;;30452;7103
;26119;31431;43.7;;31431;7101
;26782;32145;47.98;;32145;7102
;25227;29484;50.61;;29484;7105
;24650;27066;49.19;;27066;7104
;26475;28441;53.55;;28441;6097
;26868;27952;59.37;;27952;6098
;27137;32472;48.08;;32472;6630
;27253;31053;51.21;;31053;7095
;27485;30843;55.81;;30843;7098
;25569;31447;47.86;;31447;7097
;24631;28536;49.56;;28536;7100
;26315;28389;53.05;;28389;7104
;26815;31412;51.88;;31412;7103
;26313;28958;51.07;;28958;7097
;26636;34947;16.79;;34947;7093
;26851;31758;24.91;;31758;7098
;21881;24301;21.3;;24301;7098
;24609;27469;49.27;;27469;7106
;23007;29939;38.45;;29939;7092
;22718;26714;36.99;;26714;7088
;20879;22370;36.21;;22370;3929
;24329;24499;44.28;;24499;4960
;27027;28043;63.59;;28043;5988
;23668;24647;57.09;;24647;6764
;25614;27472;41.5;;27472;6849
;23485;23955;59.36;;23955;6009
;21063;27617;56.95;;27617;5046
;25266;25103;64.47;;25103;5472
;26802;30033;59.45;;30033;7100
;26689;30595;48;;30595;7103
;25048;31573;34.6;;31573;7106
;24066;27467;49.9;;27467;7106
;25887;31618;46.11;;31618;7108
;26074;32929;38;;32929;7108
;25854;27769;57.64;;27769;7106
;25902;27490;58.15;;27490;7109
;26017;27996;54.57;;27996;7104
;24723;31226;25.86;;31226;7109
;24048;30971;23.88;;30971;7107
;26059;33182;18.21;;33182;7104
;26092;30189;37.56;;30189;7105
;26102;30676;37.72;;30676;7104
;25775;30586;40.36;;30586;7103
;25645;28169;40.81;;28169;7106
;24723;26203;40.01;;26203;7097
;26977;32932;29.43;;32932;7111
;24285;26271;59.33;;26271;7095
;21052;24580;51.51;;24580;7081
;21739;24622;20.42;;24622;4000
;24928;26408;46.44;;26408;4972
;27247;28193;54.75;;28193;5995
;24316;25689;57.53;;25689;6744
;25313;26721;48.28;;26721;6880
;23419;24683;54.18;;24683;5899
;22481;26159;53.27;;26159;5039
;25416;25734;52.44;;25734;5866
;24497;28206;41.05;;28206;7093
;24615;26606;51.06;;26606;7080
;23002;25137;52.95;;25137;6718
;22803;24974;57.06;;24974;6967
;24962;27007;54.16;;27007;7092
;25028;27595;49.77;;27595;7099
;24904;27312;42.35;;27312;7100
;24536;29133;37.89;;29133;7096
;24605;27455;53.86;;27455;7098
;23278;25256;49.61;;25256;7097
;23034;23750;60.1;;23750;7097
;25005;29757;42.98;;29757;7098
;25180;28076;44.65;;28076;7097
;24994;28883;47.53;;28883;7096
;25407;29388;44.71;;29388;7094
;24746;27300;54.35;;27300;7095
;22123;26501;48.1;;26501;7094
;21435;27014;38.8;;27014;7091
;22552;26083;39.88;;26083;7086
;22546;26722;32.12;;26722;7097
;25998;32283;39.24;;32283;6078
;23285;27530;45.13;;27530;6521
;19712;24262;38.66;;24262;7094
;20774;20931;29.73;;20931;4027
;24239;26280;45.85;;26280;4978
;25880;28183;50.71;;28183;5985
;24755;24606;39.18;;24606;6695
;23834;25355;51.78;;25355;6889
;20535;20251;53.23;;20251;4905
;22283;22958;54.5;;22958;5046
;23958;25159;52.14;;25159;6081
;20935;26468;45.45;;26468;7089
;22358;27425;44.67;;27425;7094
;22781;27075;45.23;;27075;7090
;22560;24111;55.28;;24111;7092
;22779;24760;54.25;;24760;7088
;22576;23938;59.61;;23938;7033
;20806;24165;46.94;;24165;6664
;20745;22232;58.53;;22232;6891
;22462;29456;51.3;;29456;7064
;22730;27762;45.19;;27762;6048
;22397;24268;63.48;;24268;6041
;22124;23788;67;;23788;6030
;22450;25360;51.5;;25360;6038
;20725;26027;42.73;;26027;6039
;20936;27249;41.6;;27249;5019
;22438;27124;50.68;;27124;5021
;22303;25509;68.04;;25509;5029
;22595;25193;64.88;;25193;4044
;22089;24392;49.79;;24392;7097
;26052;34442;53.77;;34442;6078
;24156;31046;45.7;;31046;6185
;19928;26536;58.47;;26536;7092
;22992;30835;29.98;;30835;4022
;23995;26941;60.82;;26941;5006
;24390;26939;59.9;;26939;5972
;24975;25210;37.22;;25210;6701
;22893;25141;61.93;;25141;6908
;21305;26344;57.27;;26344;4897
;22209;23126;56.82;;23126;5039
;23884;24799;56.3;;24799;6090
;23031;25076;54.06;;25076;5042
;23836;25255;53.43;;25255;5052
;23878;28128;39.2;;28128;5045
;22843;26107;43.88;;26107;5060
;21154;28451;33.38;;28451;5057
;21382;24042;56.81;;24042;5042
;23385;25090;45.91;;25090;5049
;23009;25664;48.13;;25664;5046
;22838;25128;44.23;;25128;5054
;23197;26021;48.45;;26021;5066
;22995;26129;42.76;;26129;5057
;21244;25589;38.31;;25589;5008
;21114;22232;50.97;;22232;5058
;22932;23872;50.52;;23872;5044
